Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_14:19:54,41,11908 
2025-06-08_14:20:06,57,11905 
2025-06-08_14:20:18,54,11906 
2025-06-08_14:20:30,63,11890 
2025-06-08_14:20:42,63,11926 
2025-06-08_14:20:54,74,11915 
2025-06-08_14:21:06,57,11893 
2025-06-08_14:21:18,79,11920 
2025-06-08_14:21:30,74,11916 
2025-06-08_14:21:42,88,11937 
2025-06-08_14:21:54,82,11935 
2025-06-08_14:22:06,33,11910 
2025-06-08_14:22:17,93,11921 
2025-06-08_14:22:29,93,11936 
2025-06-08_14:22:41,88,11949 
2025-06-08_14:22:54,91,11943 
2025-06-08_14:23:06,90,11953 
2025-06-08_14:23:18,83,11946 
2025-06-08_14:23:30,88,11961 
2025-06-08_14:23:43,85,11964 
2025-06-08_14:23:55,82,11969 
2025-06-08_14:24:07,88,11961 
2025-06-08_14:24:19,93,11959 
2025-06-08_14:24:31,77,11918 
2025-06-08_14:24:43,87,11947 
2025-06-08_14:24:55,88,11954 
2025-06-08_14:25:07,85,11955 
2025-06-08_14:25:19,80,11881 
2025-06-08_14:25:31,88,11880 
2025-06-08_14:25:43,77,11883 
2025-06-08_14:25:55,90,11890 
2025-06-08_14:26:07,65,11846 
2025-06-08_14:26:18,93,11863 
2025-06-08_14:26:30,83,11884 
2025-06-08_14:26:42,85,11895 
2025-06-08_14:26:54,82,11904 
2025-06-08_14:27:07,97,11909 
2025-06-08_14:27:19,82,11930 
2025-06-08_14:27:31,85,11922 
2025-06-08_14:27:43,85,11927 
2025-06-08_14:27:55,93,11928 
2025-06-08_14:28:07,88,11875 
2025-06-08_14:28:19,81,11868 
2025-06-08_14:28:31,71,11882 
2025-06-08_14:28:43,80,11899 
2025-06-08_14:28:55,80,11904 
2025-06-08_14:29:07,77,11920 
2025-06-08_14:29:19,79,11913 
2025-06-08_14:29:31,91,11936 
2025-06-08_14:29:44,83,11944 
2025-06-08_14:29:56,3,11973 
2025-06-08_14:30:07,9,11941 
2025-06-08_14:30:18,19,11962 
2025-06-08_14:30:29,3,11960 
2025-06-08_14:30:40,2,12021 
2025-06-08_14:30:51,6,12017 
2025-06-08_14:31:02,8,11919 
2025-06-08_14:31:13,90,11970 
2025-06-08_14:31:25,90,11993 
2025-06-08_14:31:37,91,11965 
2025-06-08_14:31:49,16,11972 
2025-06-08_14:32:01,90,11959 
2025-06-08_14:32:13,91,11969 
2025-06-08_14:32:25,85,11974 
2025-06-08_14:32:37,91,11946 
2025-06-08_14:32:49,82,12014 
2025-06-08_14:33:01,71,11988 
2025-06-08_14:33:13,79,12022 
2025-06-08_14:33:25,79,12025 
2025-06-08_14:33:37,68,12008 
2025-06-08_14:33:49,65,11990 
2025-06-08_14:34:01,63,11966 
2025-06-08_14:34:13,70,11966 
2025-06-08_14:34:25,65,11976 
2025-06-08_14:34:37,82,11963 
2025-06-08_14:34:49,71,12018 
2025-06-08_14:35:01,56,12003 
2025-06-08_14:35:13,70,12012 
2025-06-08_14:35:25,6,12015 
2025-06-08_14:35:36,22,12035 
2025-06-08_14:35:47,31,11992 
2025-06-08_14:35:58,37,11980 
2025-06-08_14:36:10,22,11986 
2025-06-08_14:36:21,1,11993 
2025-06-08_14:36:32,29,11988 
2025-06-08_14:36:43,35,11986 
2025-06-08_14:36:54,34,11974 
2025-06-08_14:37:05,34,11977 
2025-06-08_14:37:16,70,11990 
2025-06-08_14:37:28,66,12008 
2025-06-08_14:37:40,63,12027 
2025-06-08_14:37:52,59,12006 
2025-06-08_14:38:04,65,12012 
2025-06-08_14:38:16,63,12016 
2025-06-08_14:38:28,91,12014 
2025-06-08_14:38:40,79,12014 
2025-06-08_14:38:52,64,12011 
2025-06-08_14:39:04,66,12019 
2025-06-08_14:39:16,71,12023 
2025-06-08_14:39:28,76,12009 
2025-06-08_14:39:40,82,11959 
2025-06-08_14:39:52,81,11955 
2025-06-08_14:40:04,76,12004 
2025-06-08_14:40:16,85,12004 
2025-06-08_14:40:28,85,12008 
2025-06-08_14:40:40,70,11986 
2025-06-08_14:40:52,67,11986 
2025-06-08_14:41:04,62,11976 
2025-06-08_14:41:16,68,11977 
2025-06-08_14:41:28,100,11982 
2025-06-08_14:41:40,52,11975 
2025-06-08_14:41:52,64,11982 
2025-06-08_14:42:04,87,11982 
2025-06-08_14:42:16,43,11985 
2025-06-08_14:42:28,68,11993 
2025-06-08_14:42:40,74,11985 
2025-06-08_14:42:52,76,11979 
2025-06-08_14:43:04,80,11984 
2025-06-08_14:43:16,76,11987 
2025-06-08_14:43:28,80,11971 
2025-06-08_14:43:40,83,11972 
2025-06-08_14:43:52,62,11971 
2025-06-08_14:44:04,73,11980 
2025-06-08_14:44:16,48,11972 
2025-06-08_14:44:27,82,11989 
2025-06-08_14:44:39,52,11989 
2025-06-08_14:44:51,84,11983 
2025-06-08_14:45:03,77,11987 
2025-06-08_14:45:15,60,11992 
2025-06-08_14:45:27,73,11981 
2025-06-08_14:45:39,9,12018 
2025-06-08_14:45:51,4,12024 
