Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_15:43:02,96,13793 
2025-06-08_15:43:14,82,13802 
2025-06-08_15:43:26,96,13799 
2025-06-08_15:43:38,96,13802 
2025-06-08_15:43:50,94,13800 
2025-06-08_15:44:02,79,13833 
2025-06-08_15:44:14,87,13844 
2025-06-08_15:44:26,84,13864 
2025-06-08_15:44:38,70,13875 
2025-06-08_15:44:50,78,13769 
2025-06-08_15:45:02,74,13778 
2025-06-08_15:45:14,80,13779 
2025-06-08_15:45:26,73,13786 
2025-06-08_15:45:38,57,13784 
2025-06-08_15:45:50,80,13780 
2025-06-08_15:46:02,74,13788 
2025-06-08_15:46:14,51,13767 
2025-06-08_15:46:26,3,13748 
2025-06-08_15:46:37,46,13753 
2025-06-08_15:46:49,77,13740 
2025-06-08_15:47:01,6,13728 
2025-06-08_15:47:12,76,13741 
2025-06-08_15:47:24,35,13720 
2025-06-08_15:47:35,42,13714 
2025-06-08_15:47:47,28,13718 
2025-06-08_15:47:58,46,13717 
2025-06-08_15:48:09,27,13713 
2025-06-08_15:48:20,32,13714 
2025-06-08_15:48:31,34,13715 
2025-06-08_15:48:42,26,13713 
2025-06-08_15:48:54,35,13715 
2025-06-08_15:49:06,29,13711 
2025-06-08_15:49:18,43,13716 
2025-06-08_15:49:30,35,13720 
2025-06-08_15:49:42,30,13721 
2025-06-08_15:49:53,39,13733 
2025-06-08_15:50:05,42,13735 
2025-06-08_15:50:17,39,13735 
2025-06-08_15:50:28,32,13728 
2025-06-08_15:50:39,34,13725 
2025-06-08_15:50:51,28,13727 
2025-06-08_15:51:02,48,13728 
2025-06-08_15:51:13,10,13739 
2025-06-08_15:51:24,32,13730 
2025-06-08_15:51:35,39,13729 
2025-06-08_15:51:46,31,13727 
2025-06-08_15:51:57,34,13726 
2025-06-08_15:52:08,27,13729 
2025-06-08_15:52:19,42,13711 
2025-06-08_15:52:30,28,13722 
2025-06-08_15:52:42,7,13736 
2025-06-08_15:52:53,32,13716 
2025-06-08_15:53:04,30,13724 
2025-06-08_15:53:15,31,13726 
2025-06-08_15:53:26,31,13726 
2025-06-08_15:53:37,36,13732 
2025-06-08_15:53:49,14,13732 
2025-06-08_15:54:01,27,13734 
2025-06-08_15:54:12,41,13722 
2025-06-08_15:54:24,14,13727 
2025-06-08_15:54:35,34,13724 
2025-06-08_15:54:47,34,13725 
2025-06-08_15:54:58,44,13698 
2025-06-08_15:55:09,36,13712 
2025-06-08_15:55:21,31,13704 
2025-06-08_15:55:33,25,13705 
2025-06-08_15:55:44,36,13712 
2025-06-08_15:55:56,8,13713 
2025-06-08_15:56:07,39,13716 
2025-06-08_15:56:19,33,13704 
2025-06-08_15:56:31,26,13681 
2025-06-08_15:56:42,5,13683 
2025-06-08_15:56:53,5,13690 
2025-06-08_15:57:04,5,13700 
2025-06-08_15:57:15,3,13707 
2025-06-08_15:57:26,3,13717 
2025-06-08_15:57:37,2,13717 
