Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-06_17:12:00,31,9421 
2025-06-06_17:12:11,2,9373 
2025-06-06_17:12:22,3,9353 
2025-06-06_17:12:33,5,9331 
2025-06-06_17:12:44,2,9322 
2025-06-06_17:12:55,2,9312 
2025-06-06_17:13:06,1,9266 
2025-06-06_17:13:17,6,9088 
2025-06-06_17:13:28,6,9085 
2025-06-06_17:13:40,65,9153 
2025-06-06_17:13:52,85,9447 
2025-06-06_17:14:04,90,9606 
2025-06-06_17:14:16,91,9700 
2025-06-06_17:14:28,99,9587 
2025-06-06_17:14:40,94,9648 
2025-06-06_17:14:52,74,9575 
2025-06-06_17:15:04,82,9731 
2025-06-06_17:15:16,80,9744 
2025-06-06_17:15:28,90,9777 
2025-06-06_17:15:40,58,9644 
2025-06-06_17:15:52,48,9299 
2025-06-06_17:16:04,47,9585 
2025-06-06_17:16:15,37,9756 
2025-06-06_17:16:27,55,9428 
2025-06-06_17:16:39,53,9655 
2025-06-06_17:16:50,52,9570 
2025-06-06_17:17:02,8,9669 
2025-06-06_17:17:13,10,9433 
2025-06-06_17:17:24,4,9659 
2025-06-06_17:17:35,63,9314 
2025-06-06_17:17:47,37,9743 
2025-06-06_17:17:59,57,9707 
2025-06-06_17:18:11,70,9833 
2025-06-06_17:18:24,62,9471 
2025-06-06_17:18:36,68,9578 
2025-06-06_17:18:48,62,9602 
2025-06-06_17:19:00,59,9601 
2025-06-06_17:19:19,62,9367 
2025-06-06_17:19:30,53,9495 
2025-06-06_17:19:42,62,9683 
2025-06-06_17:19:54,64,9587 
2025-06-06_17:20:06,35,9583 
2025-06-06_17:20:18,68,9616 
2025-06-06_17:20:30,46,9463 
2025-06-06_17:20:42,56,9625 
2025-06-06_17:20:54,62,9630 
2025-06-06_17:21:09,73,9520 
2025-06-06_17:21:20,68,9435 
2025-06-06_17:21:32,63,9647 
2025-06-06_17:21:44,90,9656 
2025-06-06_17:21:56,62,9641 
2025-06-06_17:22:08,71,9713 
2025-06-06_17:22:20,74,9627 
2025-06-06_17:22:32,87,9692 
2025-06-06_17:22:46,82,9523 
2025-06-06_17:22:57,12,9580 
2025-06-06_17:23:09,62,9628 
2025-06-06_17:23:25,62,9595 
2025-06-06_17:23:37,62,9541 
2025-06-06_17:23:49,69,9658 
2025-06-06_17:24:01,79,9656 
2025-06-06_17:24:16,10,9466 
2025-06-06_17:24:28,59,9700 
2025-06-06_17:24:40,65,9625 
2025-06-06_17:24:52,80,9645 
2025-06-06_17:25:04,46,9655 
2025-06-06_17:25:17,28,9461 
2025-06-06_17:25:28,65,9599 
2025-06-06_17:25:40,62,9738 
2025-06-06_17:25:52,11,9599 
2025-06-06_17:26:09,66,9357 
2025-06-06_17:26:21,71,9538 
2025-06-06_17:26:33,33,9741 
2025-06-06_17:26:52,73,9610 
2025-06-06_17:27:08,31,9326 
2025-06-06_17:27:19,76,9493 
2025-06-06_17:27:31,2,9686 
2025-06-06_17:27:42,2,9439 
2025-06-06_17:27:53,4,9413 
2025-06-06_17:28:04,3,9404 
2025-06-06_17:28:15,7,9339 
2025-06-06_17:28:26,9,9299 
2025-06-06_17:28:37,5,9283 
2025-06-06_17:28:48,32,7844 
