Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_01:25:49,3,15489 
2025-06-08_01:26:01,3,15495 
2025-06-08_01:26:13,7,15481 
2025-06-08_01:26:24,60,15495 
2025-06-08_01:26:35,59,15495 
2025-06-08_01:26:47,85,15487 
2025-06-08_01:26:58,79,15494 
2025-06-08_01:27:10,82,15522 
2025-06-08_01:27:22,76,15497 
2025-06-08_01:27:33,87,15553 
2025-06-08_01:27:44,68,15497 
2025-06-08_01:27:55,83,15514 
2025-06-08_01:28:07,80,15539 
2025-06-08_01:28:19,84,15536 
2025-06-08_01:28:30,70,15535 
2025-06-08_01:28:42,66,15529 
2025-06-08_01:28:53,85,15535 
2025-06-08_01:29:05,74,15518 
2025-06-08_01:29:16,76,15519 
2025-06-08_01:29:28,77,15520 
2025-06-08_01:29:39,82,15510 
2025-06-08_01:29:50,3,15506 
2025-06-08_01:30:02,31,15292 
2025-06-08_01:30:14,80,14837 
2025-06-08_01:30:26,62,14823 
2025-06-08_01:30:38,77,14824 
2025-06-08_01:30:49,83,14883 
2025-06-08_01:31:01,71,14829 
2025-06-08_01:31:12,68,14950 
2025-06-08_01:31:23,59,14895 
2025-06-08_01:31:34,71,14920 
2025-06-08_01:31:45,71,14905 
2025-06-08_01:31:56,83,14897 
2025-06-08_01:32:08,79,14942 
2025-06-08_01:32:19,90,14945 
2025-06-08_01:32:31,87,14855 
2025-06-08_01:32:43,74,14863 
2025-06-08_01:32:54,55,14859 
2025-06-08_01:33:05,76,14852 
2025-06-08_01:33:16,60,14852 
2025-06-08_01:33:27,65,14852 
2025-06-08_01:33:38,80,14869 
2025-06-08_01:33:50,,14752 
2025-06-08_01:34:01,2,14846 
2025-06-08_01:34:12,88,14884 
2025-06-08_01:34:24,66,14887 
2025-06-08_01:34:35,69,14893 
2025-06-08_01:34:46,65,14898 
2025-06-08_01:34:57,82,14856 
2025-06-08_01:35:09,62,14906 
2025-06-08_01:35:20,62,14909 
2025-06-08_01:35:31,76,14880 
2025-06-08_01:35:42,82,14867 
2025-06-08_01:35:53,77,14873 
2025-06-08_01:36:04,91,14863 
2025-06-08_01:36:15,76,14853 
2025-06-08_01:36:26,24,14891 
2025-06-08_01:36:37,50,15003 
